"kolId","合作次数","平台","主页链接","达人昵称","首次合作时间","最近合作时间","最近合作状态","最近跟进人","是否复投过","历史合作类型","历史合作SPU","内容一级标签","内容二级标签","内容形式标签","人设/风格标签","受众标签","带货一级类目","带货二级类目","适配品牌","转化形式","合作分层","是否已打标","打标依据链接","备注"
"taurean194","5","Tiktok","https://www.tiktok.com/@taurean194","taurean194","2025-01-18","2026-01-21","MOU submitted","lida","是","Video:5","1384 / 1231 / 2132 / 1132 / 1260","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@taurean194","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1384 / 1231 / 2132 / 1132 / 1260）完成第一版归档，建议后续抽查近期视频再细化。"
"ulwahmardiah14","5","Tiktok","https://www.tiktok.com/@ulwahmardiah14","ulwahmardiah14","2025-10-29","2026-01-07","MOU submitted","dona","是","Video:5","2244 / 2271 / 2178 / 2011 / 2031 / 2254 / 2243 / 2258 / 2253","泛生活种草","家庭实用","清单推荐","温柔治愈型","家庭用户","家居生活","保温杯/水杯","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@ulwahmardiah14","2026-03-18初筛：Bio 写 Everything cute & pink / Mom & baby，置顶内容高度集中在 tumbler 与日常实用好物推荐，适合 LetMe 的家庭与轻家居场景。"
"yuliamandap","5","Tiktok","https://www.tiktok.com/@yuliamandap","yuliamandap","2025-06-12","2026-01-19","MOU submitted","sely","是","Video:5","1384 / SP-BB3-013 / 1234 / 1231","服饰穿搭","穿搭搭配","清单推荐","精致时尚型","女性白领","时尚饰品","手链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@yuliamandap","2026-03-18初筛：Bio 写 Fashion | aksesoris | random stuff，置顶和近期内容包含 custom initial bracelet 与日常搭配饰品，适合 Sparco 的穿搭型种草。"
"abang.adik2","4","Tiktok","https://www.tiktok.com/@abang.adik2","Abang.adik2","2024-12-10","2026-01-23","MOU submitted","lida","是","Live:4","2243 / 2104 / 2043 / 2254 / 2132 / 2122 / 2005 / 2174 / 2032 / 2057","家居生活","家庭实用","现场演示","家庭实用型","家庭用户","家居生活","","LetMe","直播强","潜力达人","已初筛","https://www.tiktok.com/@abang.adik2","2026-03-18初筛：Bio 直接写 Live style Creator，播放列表里有 Handuk Jumbo / Handuk Dewasa / Handuk Travel 和大量直播回放，适合 LetMe 的家庭实用品和直播带货。"
"accboskuu","4","Tiktok","https://www.tiktok.com/@accboskuu","accboskuu","2025-06-02","2025-11-04","Pending publish review","sely","是","Video:4","1341 / 1231 / 1347 / 1339","饰品分享","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","手链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@accboskuu","2026-03-18初筛：Bio 直接写喜欢戴饰品，近期视频持续围绕 gelang couple、gelang serut、cincin 等饰品内容，属于典型 Sparco 饰品号。"
"aldilanggra","4","Tiktok","https://www.tiktok.com/@aldilanggra","aldilanggra","2025-08-21","2025-10-29","MOU submitted","lida","是","Video:4","1341 / 1234 / 1356 / 1365","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@aldilanggra","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1341 / 1234 / 1356 / 1365）完成第一版归档，建议后续抽查近期视频再细化。"
"alesha.kyr","4","Tiktok","https://www.tiktok.com/@alesha.kyr","alesha.kyr","2025-06-18","2026-02-11","MOU submitted","dewa","是","Video:4","4016 / 4019 / 4022 / 4006","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@alesha.kyr","2026-03-18初筛：Bio 为 Fashion | Beauty | Selfcare，置顶和近期内容集中在 catokan 3in1、5in1 hair styler 等造型工具试用，适合 Stypro。"
"arabiquechannel","4","Tiktok","https://www.tiktok.com/@arabiquechannel","arabiquechannel","2025-11-20","2026-01-23","Pending MOU","lida","是","Live:4","2005 / 2132 / 2243 / 2254 / 2175 / 2131 / 2031","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","短视频强","潜力达人","已初筛","https://www.tiktok.com/@arabiquechannel","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2005 / 2132 / 2243 / 2254 / 2175 / 2131 / 2031）完成第一版归档，建议后续抽查近期视频再细化。"
"aureliafw","4","Tiktok","https://www.tiktok.com/@aureliafw","aureliafw | all about blush ♡","2025-03-02","2025-11-27","Pending MOU","amanda","否","Video:5","5000 / 2005 / 5002 / 5003 / 5001 / 4002","美妆护肤","教程教学","口播讲解","精致时尚型","女性白领","护肤品","面霜","ICYEE","种草强","潜力达人","已初筛","https://www.tiktok.com/@aureliafw","2026-03-18初筛：Bio 明确是 beauty | travel | haul，播放列表长期围绕 contour、highlighter、C-Beauty、J-Beauty 和 medicube 护肤仪内容，适合 ICYEE 的护肤种草。"
"beauty.girl5194","4","Tiktok","https://www.tiktok.com/@beauty.girl5194","beauty.girl5194","2025-10-29","2026-03-09","Pending MOU","sely","是","Video:4","1396 / 1389 / 1234 / 1339 / 1341","饰品分享","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@beauty.girl5194","2026-03-18初筛：Bio 直接写 spill aksesoris kece，近期内容以戒指、手链、项链等饰品为主，适合 Sparco 的平价饰品种草。"
"bervakifova","4","Tiktok","https://www.tiktok.com/@bervakifova","bervakifova","2024-11-09","2026-03-03","Pending MOU","dewa","是","Video:3 / Live:2","4016 / 4018 / 1004 / 1002 / 1003 / SP-BD3-011 / SP-BD3-012 / SP-BB3-013 / 1190 / 1135","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@bervakifova","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（4016 / 4018 / 1004 / 1002 / 1003 / SP-BD3-011 / SP-BD3-012 / SP-BB3-013 / 1190 / 1135）完成第一版归档，建议后续抽查近期视频再细化。"
"byputrii23","4","Tiktok","https://www.tiktok.com/@byputrii23","byputrii23","2025-07-17","2026-01-23","Pending publish review","sely","是","Video:4","1234 / 1224 / 1365 / 1231","饰品分享","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@byputrii23","2026-03-18初筛：置顶和近期内容多次直接推荐 cincin set / titanium rings，虽然有少量杂货，但主转化点仍是饰品，适合 Sparco。"
"ciriezna","4","Tiktok","https://www.tiktok.com/@ciriezna","riezna","2025-03-08","2026-02-09","MOU submitted","lida","是","Video:4","1053 / 1231 / 1339 / SP-BB3-013","服饰穿搭","穿搭搭配","纯展示","精致时尚型","女性白领","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@ciriezna","2026-03-18初筛：Bio 明确是 Beauty & Fashion，结合历史合作 SPU 主要集中在 Sparco 饰品线，更适合做穿搭型饰品种草。"
"deden.mashudi","4","Tiktok","https://www.tiktok.com/@deden.mashudi","deden.mashudi","2025-06-17","2025-12-11","Pending MOU","dona","是","Video:4","2104 / 2043 / 2011 / 2005","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@deden.mashudi","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2104 / 2043 / 2011 / 2005）完成第一版归档，建议后续抽查近期视频再细化。"
"dillahamd","4","Tiktok","https://www.tiktok.com/@dillahamd","dillahamd","2024-11-12","2025-05-22","Pending publish review","lida","是","Video:3","1231 / 1173 / 1102 / SP-BD3-010","美妆护肤","成分科普","口播讲解","专业科普型","女性白领","防晒护理","防晒喷雾","ICYEE","种草强","潜力达人","已初筛","https://www.tiktok.com/@dillahamd","2026-03-18初筛：播放列表和近期内容明显以 beauty review、sunscreen、moisturizer、skincare routine 为主，适合 ICYEE 的护肤与防晒线。"
"dindaaprd_.","4","Tiktok","https://www.tiktok.com/@dindaaprd_.","dindaaprd_.","2025-05-22","2025-12-05","Pending review","dewa","是","Video:5","4006 / 4005 / 4008 / 4002","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","直发梳","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@dindaaprd_.","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（4006 / 4005 / 4008 / 4002）完成第一版归档，建议后续抽查近期视频再细化。"
"dlakk2","4","Tiktok","https://www.tiktok.com/@dlakk2","dlakk2","2025-02-23","2026-03-10","Pending MOU","dewa","是","Video:4","4016 / 4005 / 4002","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","","Stypro","教程强","潜力达人","已初筛","https://www.tiktok.com/@dlakk2","2026-03-18初筛：近期视频出现 hairspray、rekomendasi catok 和右侧头发教学，属于明显的发型工具教程向账号。"
"dnieshopp01","4","Tiktok","https://www.tiktok.com/@dnieshopp01","dnieshopp01","2025-02-28","2025-08-11","Pending publish review","sely","是","Video:4","1231 / SP-BB3-013 / 1341 / 1012","饰品分享","穿搭搭配","清单推荐","精致时尚型","学生党","时尚饰品","项链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@dnieshopp01","2026-03-18初筛：Bio 明确为 ACCESSORIS，近期视频大量是 kalung、cincin、gelang 等首饰推荐，风格偏潮流配饰，适合 Sparco。"
"happyfinsv","4","Tiktok","https://www.tiktok.com/@happyfinsv","Pin˚⋆𐙚｡ᡣ𐭩˚","2025-07-04","2025-10-15","MOU submitted","amanda","是","Video:4","5015 / 5013 / 5014 / 5000 / 5002 / 5003 / 5004 / 5001 / 5007 / 5005","美妆护肤","教程教学","口播讲解","甜美少女型","学生党","护肤品","精华喷雾","ICYEE","种草强","潜力达人","已初筛","https://www.tiktok.com/@happyfinsv","2026-03-18初筛：近期公开主页信息有限，主要结合账号风格与历史合作 SPU 全部集中在 ICYEE 线判断，适合作为年轻女生向护肤种草号继续观察。"
"honeyheartlesss","4","Tiktok","https://www.tiktok.com/@honeyheartlesss","honeyheartlesss","2025-05-16","2026-03-03","Pending review","dewa","是","Video:5","4016 / 4007 / 4006 / 4002","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","直发梳","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@honeyheartlesss","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（4016 / 4007 / 4006 / 4002）完成第一版归档，建议后续抽查近期视频再细化。"
"itsddingo","4","Tiktok","https://www.tiktok.com/@itsddingo","dingo ꨄ︎","2025-07-24","2026-03-12","Pending MOU","sely","是","Video:4","1396 / 1389 / 1231 / 1012 / 1347","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","手链","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@itsddingo","2026-03-18初筛：Bio 写 outfit | random | cute stuff，整体是可爱女生向种草内容，结合历史合作多为 Sparco 线，适合饰品搭配合作。"
"junewita","4","Tiktok","https://www.tiktok.com/@junewita","junewita🪞🎀🫧🛍️","2025-09-26","2026-02-09","Pending publish review","sely","是","Video:5","1231 / 1053 / 1339 / 1234","开箱种草","穿搭搭配","开箱讲解","温柔治愈型","女性白领","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@junewita","2026-03-18初筛：Bio 写 review yang viral-viral，账号偏热门单品 review，结合历史合作 SPU 都在 Sparco 饰品线，更适合饰品种草。"
"junjunshop222","4","Tiktok","https://www.tiktok.com/@junjunshop222","junjunshop222","2024-10-31","2025-03-10","Published","lida","是","Video:3 / Live:1","SP-BB3-013 / SP-BA3-007-5C / 1003 / 1132 / 1102 / 1041","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@junjunshop222","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（SP-BB3-013 / SP-BA3-007-5C / 1003 / 1132 / 1102 / 1041）完成第一版归档，建议后续抽查近期视频再细化。"
"kiaraagnes_","4","Tiktok","https://www.tiktok.com/@kiaraagnes_","Kiara Agnes","2025-11-20","2026-03-11","Pending MOU","dona","是","Video:4","2138 / 2104 / 2182 / 2269 / 2210","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","自动卷发器","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@kiaraagnes_","2026-03-18初筛：Bio 直接写 hair tools girlie，这个定位已经非常明确，适合 Stypro 的头发造型工具合作。"
"ko.ony96","4","Tiktok","https://www.tiktok.com/@ko.ony96","ko.ony96","2025-06-02","2025-07-29","Pending publish review","dona","是","Video:5","2182 / 2104 / 2004 / 2032 / 2174","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@ko.ony96","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2182 / 2104 / 2004 / 2032 / 2174）完成第一版归档，建议后续抽查近期视频再细化。"
"laolisuci","4","Tiktok","https://www.tiktok.com/@laolisuci","laolisuci","2025-09-17","2026-03-11","Pending MOU","dona","是","Video:4","2116 / 2193 / 2059 / 2104 / 2080","泛生活种草","家庭实用","口播讲解","温柔治愈型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@laolisuci","2026-03-18初筛：Bio 写 review produk random，结合历史合作 SPU 主要集中在 LetMe 家居生活线，适合作为泛生活实用好物号。"
"laurenviaa","4","Tiktok","https://www.tiktok.com/@laurenviaa","Ren.dang","2025-11-13","2026-02-11","MOU submitted","dewa","是","Video:3 / Reels:1","4016 / 4017","美发造型","教程教学","口播讲解","改造变美型","女性白领","美发工具","直发梳","Stypro","种草强","潜力达人","已初筛","https://www.tiktok.com/@laurenviaa","2026-03-18初筛：近期公开内容以日常好物和完整信息分享为主，结合近几次合作 SPU 都在 Stypro 线，适合走美发工具种草合作。"
"lellysalmaa","4","Tiktok","https://www.tiktok.com/@lellysalmaa","lellysalmaa","2025-06-27","2025-11-10","MOU submitted","lida","是","Video:4","2253 / 2032 / 2031","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@lellysalmaa","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2253 / 2032 / 2031）完成第一版归档，建议后续抽查近期视频再细化。"
"lestari.lbs","4","Tiktok","https://www.tiktok.com/@lestari.lbs","lestari.lbs","2024-08-15","2025-06-20","MOU submitted","lida","是","Video:4","2141 / 2034 / 2126 / 2062","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@lestari.lbs","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2141 / 2034 / 2126 / 2062）完成第一版归档，建议后续抽查近期视频再细化。"
"manbellll","4","Tiktok","https://www.tiktok.com/@manbellll","manbel🛍️","2025-04-30","2026-03-10","Pending MOU","sely","是","Video:4","1396 / 1389 / SP-BA1-005 / 1231 / 1224","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@manbellll","2026-03-18初筛：Bio 明确写 Makeup, hijab, fashion, acc，主页是典型甜妹穿搭和配饰 spill 账号，适合 Sparco 的搭配型种草。"
"monchhild.","4","Tiktok","https://www.tiktok.com/@monchhild.","monchhild.","2025-06-13","2025-11-20","MOU submitted","dewa","是","Video:4","4017 / 4005 / 4007 / 4006","美发造型","教程教学","现场演示","改造变美型","女性白领","美发工具","直发梳","Stypro","演示强","潜力达人","已初筛","https://www.tiktok.com/@monchhild.","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（4017 / 4005 / 4007 / 4006）完成第一版归档，建议后续抽查近期视频再细化。"
"nanique_89","4","Tiktok","https://www.tiktok.com/@nanique_89","nanique_89","2024-12-07","2025-08-26","Pending MOU","lida","是","Video:4","2131 / 1231 / 1102 / SP-BB3-013 / SP-BB3-008-NEW","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@nanique_89","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2131 / 1231 / 1102 / SP-BB3-013 / SP-BB3-008-NEW）完成第一版归档，建议后续抽查近期视频再细化。"
"piijaaahh_","4","Tiktok","https://www.tiktok.com/@piijaaahh_","piijaaahh_","2025-07-16","2026-01-07","Pending MOU","lida","是","Video:5","2005 / 2253 / 2141 / 2132 / 2138","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@piijaaahh_","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2005 / 2253 / 2141 / 2132 / 2138）完成第一版归档，建议后续抽查近期视频再细化。"
"racun.bylin","4","Tiktok","https://www.tiktok.com/@racun.bylin","racun.bylin","2024-10-15","2024-10-17","Pending MOU","rizal","否","Video:2 / Live:2","2011 / 2046","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","短视频强","潜力达人","已初筛","https://www.tiktok.com/@racun.bylin","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2011 / 2046）完成第一版归档，建议后续抽查近期视频再细化。"
"revilstudio.id","4","Tiktok","https://www.tiktok.com/@revilstudio.id","revilstudio.id","2025-09-04","2025-12-12","MOU submitted","dona","是","Video:4","2104 / 2254 / 2011 / 2182 / 2131","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@revilstudio.id","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2104 / 2254 / 2011 / 2182 / 2131）完成第一版归档，建议后续抽查近期视频再细化。"
"rizkiaa__","4","Tiktok","https://www.tiktok.com/@rizkiaa__","rizkiaa__","2025-09-25","2026-01-17","Pending MOU","lida","是","Video:4","2253 / 1231 / 2243","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe / Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@rizkiaa__","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2253 / 1231 / 2243）完成第一版归档，建议后续抽查近期视频再细化。"
"sellymrslina26","4","Tiktok","https://www.tiktok.com/@sellymrslina26","sellymrslina26","2025-01-25","2025-10-24","MOU submitted","sely","是","Video:4","1231 / SP-BB3-013 / 1132","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@sellymrslina26","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1231 / SP-BB3-013 / 1132）完成第一版归档，建议后续抽查近期视频再细化。"
"summer_blush0","4","Tiktok","https://www.tiktok.com/@summer_blush0","summer_blush0","2024-12-31","2025-09-02","Pending publish review","sely","是","Video:4","1231 / 2138 / 2034 / 2080","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@summer_blush0","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1231 / 2138 / 2034 / 2080）完成第一版归档，建议后续抽查近期视频再细化。"
"theycallmesah","4","Tiktok","https://www.tiktok.com/@theycallmesah","theycallmesah","2025-06-11","2025-07-22","MOU submitted","dona","否","Video:4","2174 / 2005","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@theycallmesah","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2174 / 2005）完成第一版归档，建议后续抽查近期视频再细化。"
"tintin.lie","4","Tiktok","https://www.tiktok.com/@tintin.lie","tintin.lie","2025-06-17","2026-03-12","Pending MOU","dona","是","Video:4","2116 / 2147 / 2253 / 2043 / 2031","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@tintin.lie","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2116 / 2147 / 2253 / 2043 / 2031）完成第一版归档，建议后续抽查近期视频再细化。"
"_nengenna","3","Tiktok","https://www.tiktok.com/@_nengenna","_nengenna","2025-07-23","2026-01-06","MOU submitted","lida","是","Video:3","2104 / 2237","泛生活种草","家庭实用","口播讲解","家庭实用型","家庭用户","家居生活","","LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@_nengenna","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（2104 / 2237）完成第一版归档，建议后续抽查近期视频再细化。"
"_sepallsepill","3","Tiktok","https://www.tiktok.com/@_sepallsepill","_sepallsepill","2024-11-14","2025-10-30","MOU submitted","sely","是","Video:4","1341 / 1231 / 1045 / SP-BB3-013","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@_sepallsepill","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1341 / 1231 / 1045 / SP-BB3-013）完成第一版归档，建议后续抽查近期视频再细化。"
"abouturdqy__","3","Tiktok","https://www.tiktok.com/@abouturdqy__","abouturdqy__","2025-04-25","2025-10-01","MOU submitted","lida","是","Video:2 / Live:1","1231 / 1238 / 1132 / 1121 / 1260 / 1224 / SP-BB3-013 / SP-BB3-008-NEW / 1135 / 1111","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@abouturdqy__","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1231 / 1238 / 1132 / 1121 / 1260 / 1224 / SP-BB3-013 / SP-BB3-008-NEW / 1135 / 1111）完成第一版归档，建议后续抽查近期视频再细化。"
"adindaprsty","3","Tiktok","https://www.tiktok.com/@adindaprsty","adindaprsty","2025-08-27","2026-01-29","MOU submitted","lida","是","Video:3","1384 / 1341 / 1231","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@adindaprsty","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1384 / 1341 / 1231）完成第一版归档，建议后续抽查近期视频再细化。"
"adindazoyaa","3","Tiktok","https://www.tiktok.com/@adindazoyaa","adindazoyaa","2025-03-29","2025-11-05","Pending publish review","sely","是","Video:3","1341 / 1231 / SP-BB3-013","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco","种草强","潜力达人","已初筛","https://www.tiktok.com/@adindazoyaa","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1341 / 1231 / SP-BB3-013）完成第一版归档，建议后续抽查近期视频再细化。"
"agstinsmrni_ds","3","Tiktok","https://www.tiktok.com/@agstinsmrni_ds","agstinsmrni_ds","2025-07-14","2026-01-14","MOU submitted","sely","是","Video:3","1224 / 1231 / 2011","服饰穿搭","穿搭搭配","清单推荐","甜美少女型","学生党","时尚饰品","戒指","Sparco / LetMe","种草强","潜力达人","已初筛","https://www.tiktok.com/@agstinsmrni_ds","2026-03-18批量初筛：主要依据账号命名/公开定位与历史合作SPU（1224 / 1231 / 2011）完成第一版归档，建议后续抽查近期视频再细化。"
